firstName|lastName|dob|street|zip|city|state|gender|phoneNumber|email|accountNumber|money
Jean|van Soest|09/01/1962|P.O. Box 35698|93496|Decatur|RI|M|782-250-9073|vansoest802@mail-central.com|123517273|6192.35
Tom|Garrett|15/11/1990|241 Ranch Approach|15208|Kellyville|OK|M|700-664-4519|tom_garrett2643@airpost.net|123517281|7042.77
Selina|Schrauwen|22/01/1997|910 Eighth Orchard|88616|Canadohta Lake|ID|F|785-434-0615|selina_schrauwen340@realemail.net|123517303|5773.96
Ardell|Carpenter|03/07/1989|417 Cozy Orchard|37721|Livonia|NM|F|529-876-7160|ardell_carpenter1972@letterboxes.org|123517311|6791.10
Ali|Scott|28/03/1977|41 Quiet Mount|78058|Reese Center|NC|F|452-283-4443|ali_scott9805@mailhaven.com|123517338|1228.55
Rolande|Finley|02/06/1978|276 Lock Ridge|14799|Wedowee|WI|F|681-871-6570|rolande_finley371@fastmailbox.net|123517346|7114.30
Edmund|Snow|17/10/1989|799 Fallen Edge|10142|Oglala|OK|M|603-248-5943|snow1478@fastmail.to|123517354|4479.91
Yolande|Bryan|22/07/1990|P.O. Box 11334|20566|South Sanford|TN|F|258-383-5621|bryan3309@fastemailer.com|123517362|9318.56
Cordelia|Mcmahon|11/10/1971|P.O. Box 66934|38938|Holly Springs|CT|F|559-259-9002|cordelia4364@rushpost.com|123517370|5908.37
Lester|Oconnell|08/06/1976|399 W Bayoo|93663|Cave Junction|NC|M|728-593-7395|oconnell7498@the-fastest.net|123517389|4508.52
Shanta|de Lang|01/01/1951|688 SE Sky Stravenue|47843|Buena Park|MD|F|490-950-0675|delang2040@fea.st|123517397|4736.28
Boyce|Myers|01/02/1950|353 SW Pond Jetty|08442|Progress Village|MD|M|546-128-6142|boyce1177@ftml.net|123517400|7112.34
Derick|Dunlop|10/10/2001|589 Colonial Pass|49665|Cherry Fork village|NY|M|505-589-4006|dunlop2057@the-quickest.com|123517419|2224.53
Hiram|Pik|09/09/1985|467 Broad Leaf Port|09825|Pontoosuc village|CA|M|810-272-2373|hiram_pik4396@fastmail.co.uk|123517427|7445.42
Lucile|Puckett|26/06/1972|321 SE Fawn Place|98518|Dazey|PA|F|281-049-1174|puckett7004@veryfast.biz|123517435|9479.66
Virgilio|Bramhall|14/01/1940|P.O. Box 95244|58432|Couderay village|FL|M|403-225-0085|virgilio7238@fast-mail.org|123517443|5772.33
Kristeen|van Waay|25/04/1961|638 Honey Wintergreen|07010|Grand Coteau|CT|F|522-987-1975|kristeen_vanwaay434@16mail.com|123517451|5474.72
Gaylord|Shields|28/02/1965|175 Cinder Ironwood Heights|23957|Gillham|AR|M|407-575-7753|gaylord7961@mail-page.com|123517478|7484.42
Korey|Muusse|27/09/1941|563 Sky Annex|82066|Laytonville|MN|M|245-753-4077|korey_muusse8994@postinbox.com|123517486|3983.20
Doretha|Adriaen|11/12/1949|43 Well Beach|10309|Forest Hills|HI|F|586-796-2537|doretha5670@bestmail.us|123517494|8390.67
Melvina|de Boef|20/08/1953|P.O. Box 31157|28435|Waynesburg borough|TX|F|905-920-8351|deboef1387@promessage.com|123517508|6635.74
Wilma|van Selm|17/07/1978|59 Beacon Lawn|55578|Arlington|WV|F|937-047-7314|wilma_vanselm8636@jetemail.net|123517516|9235.02
Emery|Flowers|09/11/1996|P.O. Box 51537|51567|Ben Lomond|MT|M|561-292-1564|flowers4073@mailas.com|123517524|6518.71
Hunter|Neal|09/10/1945|741 Little Spur|48698|Secaucus|MA|M|273-713-7279|hunter6654@justemail.net|123517532|52.77
Caroyln|Shaw|12/09/1997|28 Quiet Stead|54176|Hypoluxo|ND|F|522-109-5627|caroyln_shaw933@mail-central.com|123517540|3683.41
Lawerence|Vermeulen|04/09/1975|299 Dusty Course|37853|Dunns|MT|M|941-551-7554|lawerence896@h-mail.us|123517559|5427.89
Aurora|Erickson|22/12/1989|822 Rustic Pond|90853|Glen Ellyn village|CO|F|731-304-7163|erickson7785@16mail.com|123517567|2981.01
